Exoplanet,Host star,a,Ds,Dp,Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
K2-326 b,K2-326,0.0198,2.28,0.69,2.28,0.69,33.02470664,3.083916792
K2-329 b,K2-329,0.1016,8.676,0.82,8.676,0.82,10.31380779,13.31577376
K2-33 b,K2-33,,5.04,1.05,5.04,1.05,22.7343995,0
K2-33 b,K2-33,,,0.91,0,0.91,#DIV/0!,0
K2-33 b,K2-33,,3.17,0.53,3.17,0.53,18.24489348,0
K2-33 b,K2-33,0.0409,5.76,1.1,5.76,1.1,20.83986621,3.995923589
K2-33 b,K2-33,,0.868,0.16,0.868,0.16,20.11522905,0
K2-330 b,K2-330,,,1.47,0,1.47,#DIV/0!,0
K2-330 b,K2-330,,2.2,1.25,2.2,1.25,62.00290772,0
K2-330 b,K2-330,,2.729,1.47,2.729,1.47,58.78121028,0
K2-330 b,K2-330,,3.295,1.68,3.295,1.68,55.63890669,0
K2-330 b,K2-330,,2.77,1.5,2.77,1.5,59.09302397,0
K2-330 b,K2-330,,2.17,1.47,2.17,1.47,73.92346676,0
K2-331 b,K2-331,,1.79,1.06,1.79,1.06,64.62157802,0
K2-331 c,K2-331,,2.72,1.06,2.72,1.06,42.52670024,0
K2-331 c,K2-331,,2.5,1.04,2.5,1.04,45.39604892,0
K2-332 b,K2-332,,1.76,0.2,1.76,0.2,12.40058154,0
K2-332 b,K2-332,,2.2,0.28,2.2,0.28,13.88865133,0
K2-332 b,K2-332,,,0.29,0,0.29,#DIV/0!,0
K2-333 b,K2-333,,5.74,1.2,5.74,1.2,22.81361343,0
K2-333 b,K2-333,,5.3,1.19,5.3,1.19,24.50167735,0
K2-333 b,K2-333,,6.18,1.22,6.18,1.22,21.54249894,0
K2-334 b,K2-334,,5,1.41,5,1.41,30.77328316,0
K2-334 b,K2-334,,5.837,1.51,5.837,1.51,28.23007154,0
K2-334 b,K2-334,,5.65,1.49,5.65,1.49,28.77812836,0
K2-335 b,K2-335,,,1.33,0,1.33,#DIV/0!,0
K2-335 b,K2-335,,2.47,1.32,2.47,1.32,58.31787661,0
K2-335 b,K2-335,,2.526,1.41,2.526,1.41,60.91307039,0
K2-335 b,K2-335,,2.21,1.33,2.21,1.33,65.67258208,0
K2-336 b,K2-336,,1.22,0.8,1.22,0.8,71.55745416,0
K2-336 b,K2-336,,,0.8,0,0.8,#DIV/0!,0
K2-336 b,K2-336,,1.317,0.78,1.317,0.78,64.62991019,0
K2-336 b,K2-336,,1.33,0.77,1.33,0.77,63.17769966,0
K2-337 b,K2-337,,2.109,1.06,2.109,1.06,54.84714303,0
K2-337 b,K2-337,,,1.26,0,1.26,#DIV/0!,0
K2-337 b,K2-337,,2.62,1.32,2.62,1.32,54.97906688,0
K2-337 b,K2-337,,2.77,1.27,2.77,1.27,50.03209363,0
K2-338 b,K2-338,,1.03,0.63,1.03,0.63,66.74643115,0
K2-338 b,K2-338,,,0.63,0,0.63,#DIV/0!,0
K2-338 b,K2-338,,1.073,0.51,1.073,0.51,51.86748366,0
K2-339 b,K2-339,,2.11,0.58,2.11,0.58,29.99647782,0
K2-339 b,K2-339,,1.92,0.72,1.92,0.72,40.9219191,0
K2-34 b,K2-34,,13.186,1.4,13.186,1.4,11.58616446,0
K2-34 b,K2-34,,11.994,1.22,11.994,1.22,11.09993692,0
K2-34 b,K2-34,0.0465,15.435,1.58,15.435,1.58,11.17056597,3.162877837
K2-34 b,K2-34,,,1.4,0,1.4,#DIV/0!,0
K2-34 b,K2-34,,13.8,1.4,13.8,1.4,11.0706641,0
K2-34 b,K2-34,0.04419,15.132,1.53,15.132,1.53,11.03366574,3.103981491
K2-34 b,K2-34,,,1.4,0,1.4,#DIV/0!,0
K2-34 b,K2-34,,13.1,1.38,13.1,1.38,11.49562307,0
K2-34 b,K2-34,0.0445,16.141,1.66,16.141,1.66,11.22282976,2.88096827
K2-34 b,K2-34,,13.7,1.4,13.7,1.4,11.15147187,0
K2-34 b,K2-34,0.0442,13.75,1.42,13.75,1.42,11.26964851,3.345187591
K2-34 b,K2-34,0.0426,13.96,1.44,13.96,1.44,11.25645912,3.179315733
K2-34 b,K2-34,,13.966,1.45,13.966,1.45,11.32975945,0
K2-340 b,K2-340,,3.36,1.13,3.36,1.13,36.69981633,0
K2-340 b,K2-340,,3.52,1.14,3.52,1.14,35.3416574,0
K2-340 b,K2-340,,,1.11,0,1.11,#DIV/0!,0
K2-341 b,K2-341,,3.18,1.1,3.18,1.1,37.74768219,0
K2-341 b,K2-341,,3.21,1.16,3.21,1.16,39.43462193,0
K2-341 b,K2-341,,2.968,1.04,2.968,1.04,38.23791182,0
K2-342 b,K2-342,,2.4,1.41,2.4,1.41,64.11100659,0
K2-342 b,K2-342,,2.03,1.09,2.03,1.09,58.59427496,0
K2-343 b,K2-343,,2,0.51,2,0.51,27.82690499,0
K2-343 b,K2-343,,1.65,0.46,1.65,0.46,30.42276006,0
K2-343 c,K2-343,,2.02,0.46,2.02,0.46,24.8502743,0
K2-343 c,K2-343,,2.3,0.47,2.3,0.47,22.29948055,0
K2-343 c,K2-343,,2.44,0.51,2.44,0.51,22.80893851,0
K2-344 b,K2-344,,1.59,0.49,1.59,0.49,33.62975322,0
K2-344 b,K2-344,,1.6,0.55,1.6,0.55,37.51175917,0
K2-344 b,K2-344,,1.925,0.56,1.925,0.56,31.74548875,0
K2-345 b,K2-345,,2.11,0.52,2.11,0.52,26.89339391,0
K2-345 b,K2-345,,1.82,0.4,1.82,0.4,23.98354233,0
K2-345 b,K2-345,,,0.54,0,0.54,#DIV/0!,0
K2-346 b,K2-346,,,0.71,0,0.71,#DIV/0!,0
K2-346 b,K2-346,,2.362,0.69,2.362,0.69,31.87820963,0
K2-346 b,K2-346,,2.26,0.7,2.26,0.7,33.79981518,0
K2-346 b,K2-346,,2.08,0.66,2.08,0.66,34.62623924,0
K2-346 b,K2-346,,2.971,0.71,2.971,0.71,26.07836873,0
K2-347 b,K2-347,,,0.62,0,0.62,#DIV/0!,0
K2-347 b,K2-347,,2.41,0.63,2.41,0.63,28.52648302,0
K2-347 b,K2-347,,2.58,0.58,2.58,0.58,24.53200318,0
K2-348 b,K2-348,,3.26,0.85,3.26,0.85,28.45286808,0
K2-348 b,K2-348,,3.8,0.83,3.8,0.83,23.83522305,0
K2-348 b,K2-348,,3.381,0.87,3.381,0.87,28.08011012,0
K2-348 c,K2-348,,2.67,0.85,2.67,0.85,34.74020597,0
K2-348 c,K2-348,,2.6,0.83,2.6,0.83,34.83609523,0
K2-349 b,K2-349,,1.38,0.49,1.38,0.49,38.74732436,0
K2-349 b,K2-349,,,0.79,0,0.79,#DIV/0!,0
K2-349 b,K2-349,,2.75,0.82,2.75,0.82,32.53912597,0
K2-35 b,K2-35,0.031,1.32,0.62,1.32,0.62,51.25573705,5.373491379
K2-35 b,K2-35,,1.52,0.67,1.52,0.67,48.10120315,0
K2-35 b,K2-35,0.032,1.4,0.72,1.4,0.72,56.12148905,4.776436782
K2-35 b,K2-35,0.0306,1.08,0.6,1.08,0.6,60.62506533,5.480961207
K2-35 b,K2-35,,1.27,0.6,1.27,0.6,51.55517367,0
K2-35 c,K2-35,,,0.78,0,0.78,#DIV/0!,0
K2-35 c,K2-35,,2.2,0.69,2.2,0.69,34.22560506,0
K2-35 c,K2-35,0.0539,1.69,0.6,1.69,0.6,38.7426453,9.654372845
K2-35 c,K2-35,0.0564,2.09,0.72,2.09,0.72,37.59334195,8.418469828
K2-35 c,K2-35,0.055,1.93,0.62,1.93,0.62,35.05573726,9.533613737
K2-35 c,K2-35,,1.9,0.6,1.9,0.6,34.46056345,0
K2-35 c,K2-35,,2.17,0.67,2.17,0.67,33.69300866,0
K2-350 b,K2-350,,1.54,1.04,1.54,1.04,73.69488461,0
K2-350 c,K2-350,,2.81,1.01,2.81,1.01,39.22290703,0
K2-350 c,K2-350,,2.74,1.04,2.74,1.04,41.41975266,0
K2-350 c,K2-350,,,0.98,0,0.98,#DIV/0!,0
K2-351 b,K2-351,,,1.04,0,1.04,#DIV/0!,0
K2-351 b,K2-351,,3.03,1.1,3.03,1.1,39.61637932,0
K2-351 b,K2-351,,,1.04,0,1.04,#DIV/0!,0
K2-351 b,K2-351,,2.54,1.05,2.54,1.05,45.11077696,0
K2-352 b,K2-352,,1.37,0.95,1.37,0.95,75.67070198,0
K2-352 c,K2-352,,2,0.92,2,0.92,50.19755409,0
K2-352 c,K2-352,,1.92,0.95,1.92,0.95,53.99419881,0
K2-352 d,K2-352,,4.4,0.92,4.4,0.92,22.81707004,0
K2-352 d,K2-352,,2.23,0.95,2.23,0.95,46.48827879,0
K2-353 b,K2-353,,5.55,0.99,5.55,0.99,19.46556152,0
K2-353 b,K2-353,,5.079,1.02,5.079,1.02,21.91526284,0
K2-354 b,K2-354,,,0.42,0,0.42,#DIV/0!,0
K2-354 b,K2-354,,1.56,0.41,1.56,0.41,28.68031937,0
K2-355 b,K2-355,0.0632,2.25,0.92,2.25,0.92,44.62004808,7.382709895
K2-356 b,K2-356,0.1599,2.29,0.86,2.29,0.86,40.98148521,19.98189004
K2-357 b,K2-357,0.145,3.72,1,3.72,1,29.33470903,15.583125
K2-358 b,K2-358,0.0863,2.68,0.91,2.68,0.91,37.05367799,10.19191881
K2-36 b,K2-36,0.02308,1.45,0.75,1.45,0.75,56.44402634,3.307204828
K2-36 b,K2-36,0.0223,1.43,0.72,1.43,0.72,54.94411515,3.328579382
K2-36 b,K2-36,,1.467,0.75,1.467,0.75,55.78993742,0
K2-36 b,K2-36,0.023,1.32,0.74,1.32,0.74,61.17620229,3.340278425
K2-36 b,K2-36,,1.55,0.74,1.55,0.74,52.09844324,0
K2-36 b,K2-36,,1.407,0.73,1.407,0.73,56.61786485,0
K2-36 c,K2-36,0.0555,2.8,0.74,2.8,0.74,28.84020965,8.060237069
K2-36 c,K2-36,0.054,3.2,0.72,3.2,0.72,24.55315146,8.060237069
K2-36 c,K2-36,0.05574,2.65,0.75,2.65,0.75,30.88446724,7.987157586
K2-36 c,K2-36,,3.58,0.75,3.58,0.75,22.86140732,0
K2-36 c,K2-36,,,0.75,0,0.75,#DIV/0!,0
K2-36 c,K2-36,,3.12,0.73,3.12,0.73,25.53247944,0
K2-36 c,K2-36,,2.82,0.74,2.82,0.74,28.63566916,0
K2-365 b,K2-365,,2.906,1.05,2.906,1.05,39.4292407,0
K2-365 b,K2-365,,,1.06,0,1.06,#DIV/0!,0
K2-365 b,K2-365,,2.897,0.99,2.897,0.99,37.29163494,0
K2-365 b,K2-365,,2.71,0.87,2.71,0.87,35.03278683,0
K2-365 b,K2-365,,3.24,1.11,3.24,1.11,37.38545695,0
K2-366 b,K2-366,,1.84,0.7,1.84,0.7,41.51499039,0
K2-366 b,K2-366,,1.87,0.73,1.87,0.73,42.59964484,0
K2-366 b,K2-366,,2.359,0.94,2.359,0.94,43.48351443,0
K2-367 b,K2-367,,2.54,0.68,2.54,0.68,29.21459841,0
K2-367 b,K2-367,,2.413,0.62,2.413,0.62,28.03877866,0
K2-367 b,K2-367,,2.38,0.58,2.38,0.58,26.59351605,0
K2-368 b,K2-368,,1.72,0.72,1.72,0.72,45.68028178,0
K2-368 b,K2-368,,1.332,0.66,1.332,0.66,54.07100421,0
K2-368 b,K2-368,,1.322,0.58,1.322,0.58,47.87637534,0
K2-368 c,K2-368,,1.38,0.58,1.38,0.58,45.86417986,0
K2-368 c,K2-368,,1.361,0.66,1.361,0.66,52.91886672,0
K2-368 d,K2-368,,1.89,0.58,1.89,0.58,33.48813132,0
K2-368 d,K2-368,,1.948,0.66,1.948,0.66,36.97257578,0
K2-369 b,K2-369,,1.217,0.87,1.217,0.87,78.01056064,0
K2-369 b,K2-369,,1.313,0.88,1.313,0.88,73.13793106,0
K2-369 b,K2-369,,1.373,0.9,1.373,0.9,71.53139536,0
K2-369 b,K2-369,,1.37,0.83,1.37,0.83,66.11229752,0
K2-37 b,K2-37,,1.526,0.82,1.526,0.82,58.63866083,0
K2-37 b,K2-37,,1.57,0.79,1.57,0.79,54.91009102,0
K2-37 b,K2-37,,1.5,0.72,1.5,0.72,52.38005644,0
K2-37 b,K2-37,0.0511,1.61,0.85,1.61,0.85,57.61263972,6.460833164
K2-37 b,K2-37,0.05105,1.66,0.87,1.66,0.87,57.1920797,6.306131837
K2-37 c,K2-37,,2.598,0.82,2.598,0.82,34.44287776,0
K2-37 c,K2-37,,,0.86,0,0.86,#DIV/0!,0
K2-37 c,K2-37,,2.5,0.72,2.5,0.72,31.42803387,0
K2-37 c,K2-37,0.0654,2.75,0.85,2.75,0.85,33.7295818,8.26885497
K2-37 c,K2-37,,2.64,0.79,2.64,0.79,32.65486473,0
K2-37 c,K2-37,0.06534,2.65,0.87,2.65,0.87,35.825982,8.071354637
K2-37 d,K2-37,,2.58,0.79,2.58,0.79,33.41428019,0
K2-37 d,K2-37,,2.33,0.72,2.33,0.72,33.72106638,0
K2-37 d,K2-37,,2.412,0.82,2.412,0.82,37.09892057,0
K2-37 d,K2-37,0.1102,2.59,0.87,2.59,0.87,36.65592753,13.61284483
K2-37 d,K2-37,0.1103,2.73,0.85,2.73,0.85,33.97668496,13.94579057
K2-370 b,K2-370,,2.764,1,2.764,1,39.48086744,0
K2-370 b,K2-370,,3.207,0.97,3.207,0.97,33.00634988,0
K2-370 b,K2-370,,3.207,0.97,3.207,0.97,33.00634988,0
K2-371 b,K2-371,,12.5,0.77,12.5,0.77,6.722107244,0
K2-371 b,K2-371,,12.03,0.72,12.03,0.72,6.531179108,0
K2-371 b,K2-371,,13.024,0.74,13.024,0.74,6.200290772,0
K2-371 b,K2-371,,,0.75,0,0.75,#DIV/0!,0
K2-371 b,K2-371,,,0.75,0,0.75,#DIV/0!,0
K2-371 b,K2-371,,11.972,0.75,11.972,0.75,6.836271149,0
K2-372 b,K2-372,,2.945,0.92,2.945,0.92,34.09001976,0
K2-372 b,K2-372,,3,0.91,3,0.91,33.10128567,0
K2-372 b,K2-372,,3.23,0.94,3.23,0.94,31.75777416,0
K2-372 b,K2-372,,,0.96,0,0.96,#DIV/0!,0
K2-373 b,K2-373,,2.061,1.49,2.061,1.49,78.89200641,0
K2-373 b,K2-373,,2.25,1.51,2.25,1.51,73.23507892,0
K2-374 b,K2-374,,1.593,0.91,1.593,0.91,62.3376378,0
K2-374 b,K2-374,,1.593,0.91,1.593,0.91,62.3376378,0
K2-374 c,K2-374,,2.213,0.91,2.213,0.91,44.87295843,0
K2-374 c,K2-374,,2.213,0.91,2.213,0.91,44.87295843,0
K2-375 b,K2-375,,2.243,1.54,2.243,1.54,74.92317481,0
K2-375 b,K2-375,,1.755,1.07,1.755,1.07,66.53212298,0
K2-375 b,K2-375,,,1.55,0,1.55,#DIV/0!,0
K2-375 b,K2-375,,2.84,1.55,2.84,1.55,59.55772263,0
K2-376 b,K2-376,,1.736,1.15,1.736,1.15,72.2891044,0
K2-376 b,K2-376,,1.736,1.15,1.736,1.15,72.2891044,0
K2-377 b,K2-377,,1.82,0.65,1.82,0.65,38.97325628,0
K2-377 b,K2-377,,1.693,0.69,1.693,0.69,44.47509223,0
K2-377 b,K2-377,,,0.7,0,0.7,#DIV/0!,0
K2-378 b,K2-378,,,0.74,0,0.74,#DIV/0!,0
K2-378 b,K2-378,,2.88,0.73,2.88,0.73,27.66018606,0
K2-378 b,K2-378,,3.16,0.73,3.16,0.73,25.20928349,0
K2-379 b,K2-379,,2.181,0.75,2.181,0.75,37.52583136,0
K2-379 b,K2-379,,2.27,0.69,2.27,0.69,33.17018993,0
K2-38 b,K2-38,0.05073,1.64,1.12,1.64,1.12,74.52447055,4.867807458
K2-38 b,K2-38,0.0506,1.55,1.1,1.55,1.1,77.44363184,4.943612069
K2-38 b,K2-38,,1.96,1.24,1.96,1.24,69.0383397,0
K2-38 b,K2-38,,1.906,1.38,1.906,1.38,79.00979133,0
K2-38 c,K2-38,,2.83,1.24,2.83,1.24,47.81453916,0
K2-38 c,K2-38,0.0964,2.42,1.1,2.42,1.1,49.60232618,9.41826489
K2-38 c,K2-38,0.0967,2.41,1.12,2.41,1.12,50.71374759,9.27886815
K2-380 b,K2-380,,1.96,1.13,1.96,1.13,62.91397086,0
K2-380 b,K2-380,,2.729,1.32,2.729,1.32,52.7831276,0
K2-381 b,K2-381,,0.94,0.62,0.94,0.62,71.97614139,0
K2-381 b,K2-381,,1.075,0.68,1.075,0.68,69.02798136,0
K2-381 b,K2-381,,1.083,0.65,1.083,0.65,65.49522293,0
K2-381 c,K2-381,,2.058,0.65,2.058,0.65,34.46614501,0
K2-381 c,K2-381,,2,0.68,2,0.68,37.10253998,0
K2-381 c,K2-381,,2,0.7,2,0.7,38.19379116,0
K2-381 c,K2-381,,2.05,0.62,2.05,0.62,33.0036941,0
K2-381 c,K2-381,,,0.62,0,0.62,#DIV/0!,0
K2-381 d,K2-381,,1.48,0.62,1.48,0.62,45.71457629,0
K2-381 d,K2-381,,1.689,0.68,1.689,0.68,43.93432798,0
K2-381 d,K2-381,,1.532,0.65,1.532,0.65,46.29982143,0
K2-382 b,K2-382,,2.38,0.81,2.38,0.81,37.13922069,0
K2-382 b,K2-382,,2.771,0.88,2.771,0.88,34.65539642,0
K2-382 b,K2-382,,2.072,0.81,2.072,0.81,42.65991566,0
K2-383 b,K2-383,,1.859,0.83,1.859,0.83,48.72181151,0
K2-383 b,K2-383,,1.564,0.8,1.564,0.8,55.81847447,0
K2-383 b,K2-383,,1.75,0.88,1.75,0.88,54.87434485,0
K2-384 b,K2-384,,1.076,0.35,1.076,0.35,35.49608844,0
K2-384 c,K2-384,,1.05,0.26,1.05,0.26,27.02145769,0
K2-384 c,K2-384,,1.191,0.35,1.191,0.35,32.06867436,0
K2-384 d,K2-384,,1.1,0.26,1.1,0.26,25.79320961,0
K2-384 d,K2-384,,1.392,0.35,1.392,0.35,27.43806836,0
K2-384 e,K2-384,,1.345,0.35,1.345,0.35,28.39687075,0
K2-384 e,K2-384,,1.14,0.26,1.14,0.26,24.88818471,0
K2-384 f,K2-384,,1.78,0.26,1.78,0.26,15.93962392,0
K2-384 f,K2-384,,,0.26,0,0.26,#DIV/0!,0
K2-384 f,K2-384,,2.222,0.35,2.222,0.35,17.18892491,0
K2-385 b,K2-385,,1.72,0.73,1.72,0.73,46.31473014,0
K2-385 b,K2-385,,1.539,0.76,1.539,0.76,53.88894696,0
K2-386 b,K2-386,,2.32,0.97,2.32,0.97,45.62558796,0
K2-386 b,K2-386,,2.74,1.01,2.74,1.01,40.2249521,0
K2-386 b,K2-386,,,1.01,0,1.01,#DIV/0!,0
K2-387 b,K2-387,,4,0.35,4,0.35,9.548447789,0
K2-387 b,K2-387,,7.322,0.58,7.322,0.58,8.644163917,0
K2-387 b,K2-387,,8.22,0.66,8.22,0.66,8.761870756,0
K2-388 b,K2-388,,3.66,0.9,3.66,0.9,26.83404531,0
K2-388 b,K2-388,,3.66,0.9,3.66,0.9,26.83404531,0
K2-389 b,K2-389,,2.118,1.08,2.118,1.08,55.64453588,0
K2-389 b,K2-389,,2.184,1.08,2.184,1.08,53.96297024,0
K2-389 c,K2-389,,2.04,1.08,2.04,1.08,57.77212108,0
K2-389 c,K2-389,,2.04,1.08,2.04,1.08,57.77212108,0
K2-39 b,K2-39,0.062,8.2,3.88,8.2,3.88,51.63481174,1.717301369
K2-39 b,K2-39,,6.277,2.97,6.277,2.97,51.63320045,0
K2-39 b,K2-39,0.05708,7.09,2.59,7.09,2.59,39.86375946,2.368485621
K2-39 b,K2-39,,1.67,0.74,1.67,0.74,48.35484253,0
K2-39 b,K2-39,0.0574,5.71,2.93,5.71,2.93,55.99590097,2.105381605
K2-39 b,K2-39,,,3.12,0,3.12,#DIV/0!,0
K2-390 b,K2-390,,4.366,0.98,4.366,0.98,24.49441485,0
K2-390 b,K2-390,,4.662,0.97,4.662,0.97,22.7051403,0
K2-390 b,K2-390,,4.662,0.97,4.662,0.97,22.7051403,0
K2-391 b,K2-391,,1.371,0.57,1.371,0.57,45.36930491,0
K2-391 b,K2-391,,1.371,0.57,1.371,0.57,45.36930491,0
K2-392 b,K2-392,,1.85,1.06,1.85,1.06,62.52574305,0
K2-392 b,K2-392,,1.85,1.06,1.85,1.06,62.52574305,0
K2-393 b,K2-393,,2.352,1.07,2.352,1.07,49.64450503,0
K2-393 b,K2-393,,,1.12,0,1.12,#DIV/0!,0
K2-394 b,K2-394,,,0.58,0,0.58,#DIV/0!,0
K2-394 b,K2-394,,1.692,0.63,1.692,0.63,40.63169272,0
K2-395 b,K2-395,,2.597,0.78,2.597,0.78,32.77535299,0
K2-395 b,K2-395,,2.597,0.78,2.597,0.78,32.77535299,0
K2-395 c,K2-395,,3.395,0.78,3.395,0.78,25.07145559,0
K2-395 c,K2-395,,3.395,0.78,3.395,0.78,25.07145559,0
K2-396 b,K2-396,,1.579,0.92,1.579,0.92,63.58144914,0
K2-396 b,K2-396,,1.579,0.92,1.579,0.92,63.58144914,0
K2-396 c,K2-396,,3.124,0.92,3.124,0.92,32.13671837,0
K2-397 b,K2-397,,2.417,0.97,2.417,0.97,43.79452382,0
K2-397 b,K2-397,,2.417,0.97,2.417,0.97,43.79452382,0
K2-398 b,K2-398,,2.274,1.24,2.274,1.24,59.50534117,0
K2-398 b,K2-398,,2.274,1.24,2.274,1.24,59.50534117,0
K2-398 c,K2-398,,5.098,1.24,5.098,1.24,26.54279047,0
K2-398 c,K2-398,,5.098,1.24,5.098,1.24,26.54279047,0
K2-399 b,K2-399,,6.049,1.54,6.049,1.54,27.78189471,0
K2-399 b,K2-399,,12.547,1.66,12.547,1.66,14.4375305,0
K2-399 b,K2-399,,6.049,1.54,6.049,1.54,27.78189471,0
K2-4 b,K2-4,0.078,2.1,0.57,2.1,0.57,29.61967477,14.70639746
K2-4 b,K2-4,,2.29,0.57,2.29,0.57,27.16214717,0
K2-4 b,K2-4,,,0.68,0,0.68,#DIV/0!,0
K2-4 b,K2-4,0.0777,2.37,0.6,2.37,0.6,27.62661205,13.91734267
K2-4 b,K2-4,0.0715,1.69,0.43,1.69,0.43,27.76556246,17.86998296
K2-4 b,K2-4,,2.57,0.62,2.57,0.62,26.32590385,0
K2-400 b,K2-400,,1.163,0.38,1.163,0.38,35.65567041,0
K2-400 b,K2-400,,1.163,0.38,1.163,0.38,35.65567041,0
K2-401 b,K2-401,,2.262,0.68,2.262,0.68,32.80507514,0
K2-401 b,K2-401,,2.262,0.68,2.262,0.68,32.80507514,0
K2-402 b,K2-402,,2.678,1.28,2.678,1.28,52.15838331,0
K2-402 b,K2-402,,2.678,1.28,2.678,1.28,52.15838331,0
K2-403 b,K2-403,,5.333,0.89,5.333,0.89,18.21139221,0
K2-403 b,K2-403,,5.333,0.89,5.333,0.89,18.21139221,0
K2-404 b,K2-404,,2.53,0.55,2.53,0.55,23.72285165,0
K2-404 b,K2-404,,2.53,0.55,2.53,0.55,23.72285165,0
K2-405 b,K2-405,,4.569,0.77,4.569,0.77,18.39053196,0
K2-405 b,K2-405,,3.806,0.77,3.806,0.77,22.07733593,0
K2-405 b,K2-405,,4.184,0.8,4.184,0.8,20.86522325,0
K2-406 b,K2-406,,4.602,0.96,4.602,0.96,22.76404018,0
K2-406 b,K2-406,,4.602,0.96,4.602,0.96,22.76404018,0
K2-407 b,K2-407,,1.283,0.93,1.283,0.93,79.10082569,0
K2-407 b,K2-407,,1.283,0.93,1.283,0.93,79.10082569,0
K2-407 c,K2-407,,1.36,0.93,1.36,0.93,74.62232306,0
K2-407 c,K2-407,,1.36,0.93,1.36,0.93,74.62232306,0
K2-408 b,K2-408,,1.677,0.78,1.677,0.78,50.75586865,0
K2-408 b,K2-408,,1.677,0.78,1.677,0.78,50.75586865,0
K2-409 b,K2-409,,2.482,1.23,2.482,1.23,54.07892612,0
K2-409 b,K2-409,,2.482,1.23,2.482,1.23,54.07892612,0
K2-411 b,K2-411,0.0511,0.99,1.38,0.99,1.38,152.1138003,3.979498688
K2-412 b,K2-412,0.0586,2.116,0.98,2.116,0.98,50.5399883,6.426257037
K2-413 b,K2-413,0.0117,0.76,0.7,0.76,0.7,100.5099767,1.796281404
K2-413 c,K2-413,0.0426,1.233,0.7,1.233,0.7,61.9526215,6.54030665
K2-414 b,K2-414,0.0487,1.219,0.73,1.219,0.73,65.34974228,7.16956247
K2-414 c,K2-414,0.0552,1.929,0.73,1.929,0.73,41.2967008,8.126485593
K2-42 b,K2-42,,2.79,0.69,2.79,0.69,26.98793231,0
K2-42 b,K2-42,0.0617,2.15,0.64,2.15,0.64,32.48375593,10.36076307
K2-42 b,K2-42,,2.25,0.66,2.25,0.66,32.01003449,0
K2-43 b,K2-43,0.03784,4.13,0.57,4.13,0.57,15.06085158,7.134488203
K2-43 b,K2-43,,4.51,0.54,4.51,0.54,13.0659786,0
K2-43 b,K2-43,0.038,4.75,0.59,4.75,0.59,13.55448829,6.921785506
K2-43 b,K2-43,,5.16,0.61,5.16,0.61,12.90044995,0
K2-43 b,K2-43,,4.835,0.56,4.835,0.56,12.63910359,0
K2-43 b,K2-43,,4.37,0.5,4.37,0.5,12.48571139,0
K2-43 c,K2-43,,2.6,0.61,2.6,0.61,25.60243143,0
K2-43 c,K2-43,,2.42,0.54,2.42,0.54,24.35023285,0
K2-44 b,K2-44,,2.16,1.09,2.16,1.09,55.06776767,0
K2-44 b,K2-44,,3.13,1.62,3.13,1.62,56.48009281,0
K2-44 b,K2-44,,2.08,1.03,2.08,1.03,54.03791881,0
K2-44 b,K2-44,0.0651,2.72,1.58,2.72,1.58,63.38885507,4.428028972
K2-44 b,K2-44,,2.939,1.56,2.939,1.56,57.92282526,0
K2-44 b,K2-44,0.06,2.433,1.58,2.433,1.58,70.86629091,4.081132693
K2-45 b,K2-45,,11.898,0.77,11.898,0.77,7.062223949,0
K2-45 b,K2-45,0.0224,6.71,0.45,6.71,0.45,7.318375993,5.349609195
K2-45 b,K2-45,,11,0.66,11,0.66,6.547507056,0
K2-45 b,K2-45,,11.4,0.73,11.4,0.73,6.987836477,0
K2-45 b,K2-45,0.025,10.44,0.69,10.44,0.69,7.212292255,3.893834333
K2-46 b,K2-46,,2.471,1.33,2.471,1.33,58.73589899,0
K2-46 b,K2-46,,2.4,1.25,2.4,1.25,56.83599875,0
K2-46 b,K2-46,,2.65,1.32,2.65,1.32,54.35666235,0
K2-46 b,K2-46,0.13821,2.05,1.29,2.05,1.29,68.66897644,11.51426734
K2-46 b,K2-46,,2.04,1.12,2.04,1.12,59.91182927,0
K2-47 b,K2-47,0.1779,1.89,0.76,1.89,0.76,43.88099967,25.15642412
K2-47 b,K2-47,,2.48,0.77,2.48,0.77,33.88158893,0
K2-47 b,K2-47,,2.53,0.73,2.53,0.73,31.48669401,0
K2-48 b,K2-48,0.1344,2.24,0.73,2.24,0.73,35.56309636,19.78622579
K2-48 b,K2-48,,2.78,0.72,2.78,0.72,28.26262038,0
K2-48 b,K2-48,,2.23,0.66,2.23,0.66,32.29712,0
K2-49 b,K2-49,,3.19,0.7,3.19,0.7,23.94595057,0
K2-49 b,K2-49,0.0309,1.93,0.45,1.93,0.45,25.44368027,7.379594828
K2-49 b,K2-49,,3.36,0.67,3.36,0.67,21.76006809,0
K2-5 b,K2-5,0.0532,1.91,0.57,1.91,0.57,32.56613457,10.03051724
K2-5 b,K2-5,0.0509,1.92,0.52,1.92,0.52,29.55471935,10.51964274
K2-5 b,K2-5,,2.4,0.62,2.4,0.62,28.19065538,0
K2-5 b,K2-5,,4.2,0.53,4.2,0.53,13.77055055,0
K2-5 b,K2-5,0.0504,1.5,0.46,1.5,0.46,33.46503606,11.77495502
K2-5 c,K2-5,0.0818,2.26,0.57,2.26,0.57,27.52270665,15.42286298
